mktime,co2,temp,humidity

 sensirion,sensor_id=310BA co2=1694.880371,temp=27.432671,humidity=57.409668 946684801
 sensirion,sensor_id=310BA co2=1686.911133,temp=27.419319,humidity=56.201172 946684806
 sensirion,sensor_id=310BA co2=1689.017090,temp=27.491417,humidity=55.963135 946684812
 sensirion,sensor_id=310BA co2=1670.051758,temp=27.518120,humidity=55.355835 946684817
 sensirion,sensor_id=310BA co2=1671.604004,temp=27.504768,humidity=54.678345 946684822
 sensirion,sensor_id=310BA co2=1689.755859,temp=27.531471,humidity=55.189514 946684827
 sensirion,sensor_id=310BA co2=1699.348145,temp=27.475395,humidity=55.056763 946684832
 sensirion,sensor_id=310BA co2=1702.220703,temp=27.518120,humidity=54.759216 946684837
 946684801, 1697.349609, 27.745094, 54.351807
 946684806, 1706.561523, 27.745094, 54.704285
 946684812, 1701.098145, 27.803848, 54.948425
 946684817, 1699.201172, 27.803848, 54.678345
 946684822, 1702.864258, 27.830551, 54.467773
 946684827, 1714.247070, 27.830551, 54.750061
 946684832, 1716.708984, 27.873276, 54.292297
 946684837, 1725.009766, 27.846573, 54.005432
 946684842, 1729.557617, 27.830551, 53.945923
 946684847, 1730.590820, 27.859924, 54.154968
 946684852, 1749.784180, 27.803848, 54.507446
 946684857, 1742.325684, 27.830551, 54.545593
 946684862, 1738.176270, 27.846573, 54.425049
 946684867, 1745.177246, 27.859924, 54.246521
 946684872, 1743.432129, 27.859924, 54.699707
 946684877, 1752.917969, 27.846573, 54.470825
 946684882, 1756.248047, 27.859924, 54.269409
 946684887, 1759.965820, 27.902649, 54.183960
 946684801, 1808.701660, 27.774475, 54.536438
 946684819, 1817.749512, 27.916000, 54.502869
 946684836, 1829.730957, 27.929352, 53.678894
 946684854, 1826.178711, 28.028152, 53.536987
 946684872, 1846.552246, 27.929352, 53.973389
 946684889, 1843.180664, 27.715721, 53.669739
 946684801, 628.337891, 24.214920, 45.942688
 1698179412, 620.745361, 24.313728, 45.498657
 1698179432, 617.246338, 24.356453, 45.394897
 1698179453, 614.111816, 24.383156, 45.228577
 1698179473, 613.271729, 24.399178, 45.243835
 1698179494, 647.848145, 24.412529, 46.826172
 1698179514, 691.894775, 24.471275, 45.275879
 946684801, 1257.426270, 25.817123, 54.248047
 1698182201, 1297.935059, 26.145569, 52.635193
 1698182221, 1299.292480, 26.158920, 52.590942
 1698182242, 1286.508789, 26.369881, 52.297974
 1698182262, 1282.961426, 26.538109, 51.922607
 1698182283, 1278.370605, 26.610207, 51.057434
 1698182304, 1266.752441, 26.711678, 50.817871
 1698182324, 1261.842285, 26.767761, 50.776672
 1698182345, 1252.736328, 26.823837, 50.819397
 1698182365, 1244.473633, 26.853210, 50.776672
 1698182386, 1240.919922, 26.879913, 50.721741
 1698182406, 1234.360840, 26.952011, 50.242615
 1698182427, 1215.399902, 27.021439, 49.949646
 1698182447, 1207.002441, 26.952011, 50.132751
